AssetID,AssetName,AssetLocat,Risk
5170008,Mount Hope Community Hall,"Flinders Hwy, Mount Hope",Low
5170009,Mount Hope Cemetery,"Beach Rd and Coast Rd, Mount Hope",Low
5170010,Coulta Memorial Hall,"South Tce, Coulta",Medium
5170011,Old Coulta Cemetery,"Old Cemetery Rd, Coulta",Medium
5170012,Coulta Cemetery,"Range Rd, Coulta",Medium
5170013,Church,"Farm Beach Rd, Wangary",Medium
5170014,Wangary Cemetery,"Snapper Hill Rd, Wangary",Low
5170015,Coffin Bay Cemetery,"Coffin Bay Rd, Coffin Bay",Very High
5170016,North Shields Cemetery,"Cemetery Cl, North Shields",Low
5170033,North Shields Cemetery,"Lincoln Hwy, North Shields",Medium
5170017,Kapinnie Community Hall,"Lawerence Rd, Kapinnie",Low
5170018,Kiana Cemetery,"Pine Grove Rd, Kiana",Low
5170019,Cummins Showground Pavillion,"Adj Ford St, Cummins",Medium
5170020,Woolshed Historic Site,"Adj Broccabruna Dr, Dutton Bay East",Medium
5170021,Old Eating House,"Flinders Hwy, Kiana",High
5170022,White Flat Community Hall,"762 White Flat Rd, Whites Flat",High
5170023,Public Museum,"Reservior Dr, Whites Flat",Medium
5130165,Uniting Church,"Cnr Lincoln Hwy and White Flat Rd, Poonindie",Very High
1970004,Port Lincoln Cemetery,"Bernard Pl, Port Lincoln",Medium
5970001,Port Neill Cemetery,"North Coast Rd, Port Neill",Low
5930026,Ungarra and Districts Community Sports Clubrooms,"Cnr Moody Centre Rd and Mount Hill Rd, Ungarra",Low
5930027,Lipson Hall,"Bratten Rd, Lipson",Medium
5970004,Lipson Cemetery,"Cemetery Rd, Lipson",Medium
5930028,Uniting Church,"Cnr Yarandale Rd and Church Rd, Lipson",Medium
5970005,National Trust of SA Museum,"Cnr Lipson Rd and West Tce, Tumby Bay",Low
5930029,Koppio Hall,"Koppio Rd, Koppio",Medium
5970007,Koppio Cemetery,"Yallunda Flat Rd, Koppio",Medium
5930030,Yallunda Flat Show Ground Pavillions,"Yallunda Flat Rd, Yallunda Flat",Extreme
5930031,Cockaleechie Hall,"Cockaleechie Hall Rd, Cockaleechie",Very High
5930032,Brooker Hall,"Brooker Rd, Brooker",Low
5970014,Tumby Bay Cemetery,"Cnr Lipson Rd, and Airport Rd,Tumby Bay",Low
3270001,Frances Oval club rooms,"Cnr East  Tce and High St, Frances",Medium
3270002,Kybybolite Sports Complex,"East Tre, Kybybolite",Low
3270003,Historic Dairy,"Kidman St, Kybybolite",Very High
3270004,Lucindale Cemetry,"Country Club Rd, Lucindale",Medium
4870001,Adam Lindsay Gordon Cottage & Museum,"Cnr Hut Bay Rd and Grundys Ln, Dingley Dell",Very High
2870004,Cantara Homestead,"Off Princes Hwy, Coorong NP, Tilley Swamp",Low
2870005,Chinamans Well Historic Site,"Off Princes Hwy, Tilley Swamp",N/A
6770002,Coola Outstation Ruins,"Canunda NP, Canunda",Low
3870001,Willalooka Hall,"Cnr Riddoch Hwy and Petherick Rd, Willallooka",Medium
3870002,Old Stone Cottage,"Cnr Emu Flat Rd and Densley Rd, Keith",Very High
3870003,Western Flat Community Hall,"Naracoorte Rd, Western Flat",Very High
3870004,Bangham Sporting Club Rooms,"Frances Rd N. of Coopers Rd, Bangham",High
2570001,Mount Benson Church,"Bagdad Rd, Mount Benson",Medium
2570002,Mount Benson Community Hall,"Cnr Southern Ports Hwy and Wrights Bay Rd, Mount Benson",Low
2870007,Tractor Museum,"Princes Hwy, Kingston SE",Medium
2870008,The Big Lobster,"Princes Hwy, Kingston SE",Medium
2870009,Reedy Creek Hall,"E. of the Cnr Bowaka Rd and Curkpatrick Lane, Reedy Creek",Medium
2870010,Blackfords,"Rowney Rd, North of Kingston",Medium
2870011,Blackford School,"Tapfield Rd, Reedy Creek",Medium
2870013,Woolmit Homestead,Cnr Woolmit Rd and Baxters Hill Rd,Low
6770006,Father Woods Tree,"Riddoch Hwy, Comaum",Low
6770005,Father Woods Park,"Riddoch Hwy, Comaum",High
6770007,Yallum Park Homestead,"Mount Burr Rd, Monbulla",Low
6770008,Glencoe Old Woolshed,"Cnr Glencoe Rd and Woolshed Rd, Glencoe",Very High
6770009,Kalangadoo House,"Kalangadoo House Road, Kalangadoo",Medium
6770010,Mayura Station Homestead,"Mayura Rd, Millicent",Medium
5150007,Grain Storage Silo,"Railway Tce, Yeelanna",High
5150008,Emergency Services,"Robins Rd, Yeelanna",Very High
5150009,Emergency Services,"Archie Griffiths Rd, Karkoo",High
5150010,Grain Storage Bunker,"Tod Hwy, Cummins",Very High
5150011,Slaughter House,"Siviour St, Cummins",High
5150013,Waste Transfer Station,"Tod Hwy, Cummins",High
5150014,Grain Storage Silo,"Railway Tce, Edillilie",Low
5150015,Emergency Services,"Main St, Edillilie",Very High
5150016,Fire Water Tank,"Koppio Rd, Edililie",N/A
5150017,Communication Towers,"Near Coast Rd, Mount Hope",Low
5150018,Fire Water Tank,"South Tce, Coulta",N/A
5150019,Emergency Services,"South Tce, Coulta",Very High
5150020,Telephone Exchange,"Flinders Hwy, Coulta",Medium
5150021,Emergency Services,"Cnr Morgan and Flinders Hwy, Wangary",Medium
5150022,Communication Tower,"Hull Rd, Little Douglas",High
5150023,Communication Tower,"Snapper Hill, Kellidie Bay",N/A
5150024,Waste Water Treatment Plant,"S. of Harder St, Coffin Bay",Medium
5150025,Waste Transfer Station,"Harder St, Coffin Bay",Low
5150027,Coffin Bay Water Tank,"SW. of Coffin Bay Rd, Coffin Bay",N/A
5150028,Emergency Services,"Cnr Tapley St and Haggarty St, Coffin Bay",High
5150177,Communications Tower,"Winter Hill Dr, Winter Hill",Medium
1950019,Fire Lookout Tower,"Winter Hill Dr, Winter Hill",Medium
5150031,Fire Water Tank,"Flinders Hwy and Wine Shanty Rds, Hawson",Low
5150033,North Shields Effluent Pump,"Easton Rd, North Shields",Low
5150034,Grain Storage Silo,"Watkins Rd, Kapinnie",Medium
5150035,Communication Tower,"Near the cnr Tod and Flinders Hwy, Pearlah",Medium
5150037,Grain Storage Silo,"Tod Hwy, Cummins",N/A
5150038,Cummins Aerotech Facilities,"Bratten Way, Cummins",Medium
5150039,Telephone Exchange,"Exchange Rd, Wanilla",Medium
5150040,Telephone Exchange,"Megaw St, Yeelanna",N/A
5150042,Effluent Pump Station B,"Esplanade, Coffin Bay",Medium
5150043,Effluent Pump Station C,"Esplanade, Coffin Bay",Medium
5150044,Effluent Pump Station D,"Esplanade, Coffin Bay",Medium
5150045,Effluent Pump Station E,"Sandpiper Crt, Coffin Bay",Low
5150046,Effluent Pump Station G,"Esplanade, Coffin Bay",Low
5150047,Effluent Pump Station H,"Pelican Crt, Coffin Bay",Low
5150048,Effluent Pump Station K,"Giles Rd, Coffin Bay",Low
5150050,Effluent Pump Station M,"Holly Rise, Coffin Bay",Medium
5150051,Emergency Services,"Dorward St, North Shields",Very High
5150054,Water Treatment Plant,"Sullivan Dr, Boston Point",Low
5150055,Tod Reservoir Pumping Station,"Reservoir Dr, White Flat",Medium
5150056,Substation Electrical,Sleaford,Low
5150057,Telephone Exchange,"Main St, Edillilie",N/A
5150179,Communications Tower,"Winter Hill, Port Lincoln",Medium
5150058,Communications Tower,"Winter Hill, Hawson",Medium
5150059,Water Tanks - Lincoln,"Cnr of Blue Fin Rd and Snake Pit Trk, Duck Ponds",N/A
5150060,Water Control Point,"Snake Pit Trk (near Pine Forest Trk), Tulka",High
5150062,Telephone Exchange,"Dorward St, North Sheilds",Medium
5150064,Communications Tower,"Cnr Tod Hwy and The Goat Trk, Karkoo",Low
5150066,Emergency Services,"Watkins Rd, Kapinnie",Medium
1950012,Substation Electrical,"Cnr Ballie Dr and Sleaford Tce, Port Lincoln",Medium
1950013,Effluent Pumping Station,"Cnr St Andrews Tce and Adelphi Tce, Port Lincoln",Low
1950014,Rubbish Dump,"End of Hassell Rd, Port Lincoln",Medium
1950015,Water Treatment Plant,"End of St Andrews Dr, Port Lincoln",Medium
1950016,Slipway,"Slipway Road, Port Lincoln",High
1950017,Research Centre - Flinders Uni And Gov,"Cnr Kent Pl and Hindmarsh St, Port Lincoln",Low
5150068,Rail Crossing Signal Box,"Rail Crossing Flinders Hwy, Coomunga",Very High
5150070,Emergency Services,"Lincoln Tce, Wanilla",Very High
5150071,Emergency Services,"Reservoir Dr, Whites Flat",Very High
5950003,Emergency Services,"Yallunda Flat Rd, Yallunda Flat",Very High
5950004,Emergency Services,"Cockaleechie Hall Rd, Cockaleechie",Very High
5950005,Emergency Services,"200m south of Brooker Rd, Brooker",Medium
5950006,Emergency Services,"Brooker Rd, Butler",Medium
5950007,Emergency Services,"Wallis St, Port Neill",Medium
5950008,Emergency Services,"Lawrie St, Ungarra",High
5950009,Emergency Services,"Carrs Rd, Lipson",Medium
5950010,Emergency Services,"West Tce, Tumby Bay",Low
5950011,Grain Storage Silo,"Cnr of Lincoln Hwy and Brooker Rd, Port Neill",Low
5950012,Communication Tower,"500m E. of the Cnr of Lincoln Hwy and Brooker Rd, Port Neill",Low
5950013,Grain Storage Silo,"Adj Ashman Tce, Ungarra",Low
5150142,Chlorine Building,Coffin Bay Borefield,Low
5950015,Grain Storage Silo,"Cnr Lincoln Hwy and Bratten Rd, Tumby Bay",Low
5950016,Grain Storage Shed,"Cnr Lincoln Hwy and Bratten Rd, Tumby Bay",Medium
5950018,Telephone Exchange,"Pub Corner Rd, Cockaleechie",Medium
5950019,Telephone Exchange,"Cnr Brooker Rd and Butler Centre Rd, Butler",Low
5950020,Butler Tanks Waste Disposal,"Approx. 1.7km W. of Butler Centre Rd, Butler",Low
5950021,"Treatment Works, Pump","Approx. 650m E. of Lipson Rd, Tumby Bay",Low
5950022,Control Shed for Air Strip,"Approx. 600m W. of Lipson Rd, Tumby Bay",Low
5950023,Pillaworta Hill Communications Tower,14km WSW. of Tumby Bay,Medium
5150072,Substation Electrical,"Uley South Bore Trk, Uley South Basin",Low
5150073,Substation Electrical,"Reservoir Rd, Whites Flat",Medium
5150074,Substation Electrical,"Cnr Green Ln and Quartz Hill Rd, North Shields",Low
5150075,Substation Electrical,"Sullivan Dr, North Shields",Low
5950027,Substation Electrical,"Bratten Rd, Tumby Bay",Low
5950026,Telephone Exchange,"Cnr Partingons Rd and Campbell Rd, Brooker",Medium
5950029,Communications Tower,"Mount Hill Rd, Butler",Low
5150079,Communications Tower,"Tod Hwy, Cummins",Medium
5950025,Grain Storage Bunker,"Cnr Lincoln Hwy and Bratten Rd, Tumby Bay",Medium
1950020,Communications Tower,"Winter Hill Dr, Winter Hill",Medium
5150081,Point Sir Isaacs Lighthouse,"Point Sir Issac Trk, Coffin Bay NP",Medium
5150082,ETSA Power Substation,"Cnr Western Approach Rd and Woods Rd, Port Lincoln",Medium
5150083,Duck Ponds Pumping Station,"Cnr Western Approach Rd and Woods Rd, Port Lincoln",Medium
5150084,Electricity Transformer,"Snake Pit Trk, Lincoln Borefield Basin",High
5150085,Bore Cubicle Q (16),"Wanna Rd, Lincoln NP",Medium
5150086,Bore Cubicle P (15) - Abandoned,"Wanna Rd, Lincoln NP",Medium
5150087,Bore Cubicle J (14),"Pillie Hut Powerline Trk, Lincoln NP",Medium
5150088,Bore Cubicle K (13),"Pillie Hut Powerline Trk, Lincoln NP",Medium
5150089,Communication Relay Station,"Pillie Hut Powerline Trk, Lincoln NP",Medium
5150090,Bore Cubicle J,"Cnr Wanna Rd and Pillie Hut Powerline Trk, Lincoln NP",Medium
5150091,Bore Cubicle E,"Memory Cove Trail, Lincoln NP",Medium
5150092,Bore Cubicle F,"Tulka Sleaford Trk, Lincoln NP",Medium
5150094,Bore Cubicle G,"Tulka Sleaford Trk, Lincoln NP",Medium
5150096,Bore Cubicle H,"Tulka Sleaford Trk, Lincoln NP",Medium
5150097,Bore Cubicle A,"Sleaford Mere Trk, Sleaford Mere CP",Medium
5150098,Bore Cubicle B,"Sleaford Mere Trk, Sleaford Mere CP",Medium
5150099,Bore Cubicle C,"Sleaford Mere Trk, Sleaford Mere CP",Medium
5150100,Bore Cubicle D,"Proper Bay Rd, Lincoln Basin Borefield",Medium
5150103,Pumping Station and Chlorine Storage,"Cnr 5 Ways Trk and 7 Miles Trk, Uley Wanilla Basin",Medium
5150104,ETSA Transformer,"Cnr 5 Ways Trk and 7 Miles Trk, Uley Wanilla Basin",Medium
5150106,Bore Cubicle 3,"Bore 4 Trk, Uley Wanilla Basin",Medium
5150107,Bore Cubicle 5,"End Kangaroo Well Trk, Uley Wanilla Basin",Medium
5150108,Bore Cubicle 6,"Bore 6 Trk, Uley Wanilla Basin",Medium
5150109,Bore Cubicle 4,"Bore 4 Trk, Uley Wanilla Basin",Medium
5150110,BC2,"Bore Loop Trk, Uley Wanilla Basin",Medium
5150111,Bore Cubicle 7,"Pine Trk, Uley Wanilla Basin",Medium
5150112,Bore Cubicle 1,"Bore Loop Trk, Uley Wanilla Basin",Medium
5150113,Bore Cubicle 9,"Bore Loop Trk, Uley Wanilla Basin",Medium
5150114,Bore Cubicle 8,"Mountain Pipeline Trk, Uley Wanilla Basin",Medium
5150117,Bore Cubicle 8,"Uley South  Bore Trk, Uley South Basin",Low
5150118,Bore Cubicle 5,"S. of Uley South Bore Track, Uley South Basin",Low
5150119,Bore Cubicle 4,"S. of Uley South Bore Trk, Uley South Basin",Low
5150120,Bore Cubicle 13,"S. of Uley South Bore Trk, Uley South Basin",Low
5150121,Bore Cubicle 14,"Start of Charlotte Waterhole Trk, Uley South Basin",Low
5150122,Bore Cubicle 15,"S. of Uley South Bore Trk, Uley South Basin",Low
5150123,Bore Cubicle 16,"S. of Uley South Bore Trk (second from end), Uley South Basin",Low
5150124,Bore Cubicle 17,"S. of Uley South Bore Trk, end of Uley South Basin",Low
5150125,Bore Cubicle 3,"Bore Loop South Track, Uley South Basin",Low
5150126,Bore Cubicle 6,"Bore Loop North Trk, Uley South Basin",Low
5150127,Bore Cubicle 7,"Bore Loop North Trk, Uley South Basin",Low
5150128,Bore Cubicle 1,"Bore Loop North Trk, Uley South Basin",Low
5150129,Bore Cubicle 2,"Uley South Bore Trk, Uley South Basin",Low
5150130,Bore Cubicle 11,"Paradise Waterhole Trk, Uley South Basin",Low
5150131,Bore Cubicle 12,"Paradise Waterhole Trk, Uley South Basin",Low
5150132,Bore Cubicle 10,"Bore 11 to Gate 4 Trk, Uley South Basin",Low
5150133,Bore Cubicle 9,"Bore 11 to Gate 4 Trk, Uley South Basin",Low
5150134,Uley South Water Tank,"Uley South Bore Trk, Uley South Basin",N/A
5150135,Uley South Water Pumping Station,"Uley South Bore Trk, Uley South Basin",Low
5150136,ETSA Transformer,"Uley South Bore Trk, Uley South Basin",Low
5150137,Bore Cubicle A - Abandoned,Coffin Bay Borefield,Medium
5150138,Bore Cubicle D,Coffin Bay Borefield,Medium
5150139,Bore Cubicle E,Coffin Bay Borefield,Medium
5150140,Bore Cubicle B,Coffin Bay Borefield,Low
5150141,Bore Cubicle C,Coffin Bay Borefield,Low
5150143,Disinfection Unit,"Grimm Road, Coffin Bay",Medium
5950030,Knotts Hill Chlorine Disinfection Station,"Knotts Hill Trk, Knotts Hill",Medium
5150147,Electricity Transformer,"Reservoir Dr, White Flat",Medium
5150148,Chlorine Disinfection Station,"Reservoir Dr, White Flat",Medium
5150149,Tod Resevoir Water Tank - Abandoned,"Lookout Loop Trk, White Flat",N/A
5150150,Summit Tanks,"Chapman Rd N. of Clarkes Ln, Green Patch",N/A
5150151,Coles Point Automatic Weather Station,"Old Coast Rd, Coulta",Medium
3850001,Automatic Weather Station - Keith,"N of Mt Charles Rd, Keith",Very High
3850003,Silos,"Dukes Hwy, Keith",N/A
3850005,SAGRN Tower,"Bunbury Rd (25km W of Keith), Mt Charles",High
3850006,Communications Tower,"Bunbury Rd (25km W of Keith), Mt Charles",High
3850013,SAGRN/Telstra Tower,"Cnr Emu Flat Rd and Wirrega North Rd, Sherwood",Low
3250002,Automatic Weather Station - Naracoorte,"Airport, Naracoorte",High
3250003,Hynam Regulator Electrical Substation,"Cnr Naracoorte-Apsley Rd and Carters Rd, Naracoorte",Low
3250025,SAGRN Tower,"Camelback, Haystack Ln, Conmurra",Extreme
3250028,Lucindale Substation (Large),"Potts Ln, Lucindale",Very High
3250034,Kincraig Electrical Substation,"Fogartys Rd, Naracoorte",Medium
3850016,Silos - Wirrega,"Dukes Hwy, Wirrega",Medium
3850019,Keith Substation (Large),"Cnr Gills Rd and Mount Charles Rd, Keith",Medium
3850026,Mast Tower,"Six Mile Well Rd, Bordertown South",Low
3850031,Silos,"Tatiara Rd, Wolseley",Medium
3850033,Bordertown Substation (Large),"Cnr Pigeon Flat Rd and Ramsay Tce, Bordertown",Low
3850034,Mast Tower,"Cnr Cannawigara Rd and Ramsay Tce, Bordertown",High
3850038,Mast Tower,"Cnr Densley Ave and Bertha St, Bordertown",N/A
3850041,Silos,"Pigeon Flat Rd, Bordertown",Low
3850042,Silos,"Brown Tce, Bordertown",Low
2850014,SAGRN Tower,"N of Taratap off of Tapfield Rd, Taratap",Medium
2850017,Communication Tower,"^Coolatoo Petherick Rd, Tilley Swamp^",Medium
2850020,Communications Tower,"Jip Jip CP, Ballater Rd, Marcollat",Low
2850021,Automatic Weather Station - Cape Jaffa,"Redmans Rd, Cape Jaffa",High
2550028,Communications Tower,"Main South Eastern Rd, Mt Benson",Medium
2850027,Communication Tower,"Bowaka Rd, Reedy Creek",Low
3850050,Silos,"Beeamma-Parsons Rd, Padthaway",High
3850051,Automatic Weather Station - Padthaway,"McBrides Rd, Padthaway",Medium
3250041,Communication Tower,"W of Bordertown Rd, The Gap",Medium
2550004,Automatic Weather Station - Robe,"Robe Airport, Main South Eastern Rd, Robe",Very High
2550016,Grain Storage Silos,"Mount Bruce Rd, Greenways",Medium
6750002,ElectraNet Tower,"Elgin Ln, Clay Wells",Low
6750007,Mast Tower - Fire Lookout Tower,"Claywells Rd, Greenways",Very High
6750015,Communication Tower,"Williams Lane, Mt Burr",Extreme
6750016,Mast Tower,"Inbtwn Forest Rd and Wrattonbully Rd, Glen Roy",Very High
6750024,Communications Tower,"Memorial Drv, Coonawarra",Low
6750025,Automatic Weather Station - Coonawarra,"Memorial Drv, Coonawarra",Medium
6750030,Silos,"Old Penola Estate off Riddoch Hwy, Penola",Low
6750033,Communications Tower,"Tower Rd, Penola",Very High
6750035,Penola West Electricity Sub-station,"Argyle Rd, Monbulla",Low
6750037,SAGRN Tower,"N of Pow Ln, Nangwarry",Extreme
6750041,Kalangadoo West Substation (Small),"Cnr Tri-Hi Rd and Nangkita Rd, Kalangadoo",Medium
6750044,Mast Tower,"Mt Edward, Lake Edward Rd, Koorine",Very High
6750046,Communication Towers,"E of Logging Trk and N of TV Tower Trk, Mt Burr",Very High
6750051,Grain Bunkers,"Aberle St, Millicent",High
6750054,Silo,"Dunns Rd, Rendelsham",Low
6750055,Snuggery Power Sub-station,"Cnr Jennings Rd and Princes Hwy, Snuggery",Medium
6750064,Communications Tower,"N of Farches Rd, The Bluff, Tantanoola",High
6750067,Glencoe Transformer station (Small),"Cnr The Springs Rd and Ryans Rd, Glencoe",High
4850002,Mast Tower,"Adams Rd/Old Mill Rd, Carpenter Rocks",High
4850004,SAGRN Tower,"Oaklea Meyers Rd, Nene Valley",Medium
4850009,Substation (Small),"Mt Schank Quarry, Bay Rd, Mt Schank",Medium
4850011,Silo,"Tervoert Rd, Eight Mile Creek",Low
4850015,SAGRN Tower,"N of Donovans Rd, Wye",Very High
4850019,Silos,"Caroline Rd, Yahl",Low
4850022,Silos,"Lalee Station Casterton Rd, Glenburnie",N/A
4850024,Substation (Large),"Ponda Rd, Mingbool",Low
4850025,Automatic Weather Station,"Sunnybrae Rd (near Airport), Wandilo",Very High
4850030,Mast Tower,"Princes Hwy (top mast), Compton",Low
4850031,Mast Tower,"Princes Hwy (Sth tower), Compton",Low
4850032,Substation (Large),"McKay Rd, Compton",High
1650006,Communications Tower,"Potters Point Lookout, Hay Drv, Mount Gambier",High
3250054,Grain Storage,Frances,Medium
3250055,Silo,Frances,Medium
3250056,Comms Tower,"Railway Tce, Frances",Medium
3250057,NBN Tower,Kybybolite,Low
3250058,Meat Works,"Cnr. Biggins Rd and Wimmera Hwy,",Medium
3250059,Communication Tower,"Park Tce East, Lucindale",Very High
3250060,Lucindale Iron Removal Plant and Chlorine Facility,"Loechiel Rd, Lucindale",Medium
3250061,Waste Water Treatment Plant,"Treatment Works Rd, Naracoorte",Medium
3250062,Grain Bunkers,"Riddoch Hwy, Naracoorte",Low
3250063,Bore,"Memorial Drive, Naracoorte",Medium
3250064,Water Bore,"Attiwill St, Naracoorte",Medium
3850069,Padthaway Water Storage and Disinfection Plant,"Hoare Tce, Padthaway",Very High
3850064,Ambulance Station,"Carinya Cres, Keith",N/A
3850065,Silo Bunkers,"Bunker Rd, Keith",Medium
3850066,Silo Bunkers (tarp),"Bunker Rd, Keith",High
3850067,Seed Cleaning Plant,"Bunker Rd, Keith",N/A
3850055,Masters Butchers Ltd,"Dark Island Well Rd, Keith",Very High
3850056,Meat Works,"Meatworks Rd, Bordertown",Low
3850063,Silo,"Tatiara Rd, Bordertown",N/A
3850062,Bunkers,"Tatiara Rd, Bordertown",Low
3850057,Tatiara Seeds,"Nalang Rd, Bordertown",High
6750073,Apcel Electrical Sub-station,"Glens Ln, Snuggery",Low
3850068,Automatic Weather Station,"Kirra Entrance Rd, Kirra",Very High
3850073,SAGRN Tower,"Kirra Entrance Rd, Kirra",Medium
3850070,Grain Bunkers,"Tatiara Rd, Wolseley",Very High
2550018,CWMS Treatment Plant,"Near Brewer St on unnamed Rd, Robe",Low
4850041,Finger Point Waste Water Treatment Plant,"Hutt Bay Rd, Port MacDonnell",High
4850042,Allendale East STED Sewerage Pumping Station,"S of Nelson Rd, Port MacDonnell",High
4850043,Mt Gambier Airport,"Airport Rd, Wandilo",Low
4850033,Auspine Timber Mill,"Cnr McEnroe Rd and Penola Rd, Tarpeena",Low
4850034,Timber Mill,"Kangaroo Flat Rd, Wandilo",Very High
4850035,Timber Storage/Mill,"Wandilo Forest Rd, Wandilo",Very High
4850037,Mt Gambier District Saleyards,"Cnr Princes Hwy and Vorwerk Rd, Yahl",Low
4850038,Myora Piggery,"Glenelg Hwy, Mil Lel",N/A
4850039,Piggery,"Caroline Rd, Yahl",Low
2550019,Barramundi Farm,"Boomaroo Park Rd, Robe",Low
5150166,Cummins Automatic Weather Station,"Cummins Air Strip, Cummins",High
5150167,Pt Lincoln Automatic Weather Station,Port Lincoln Airport,Medium
5150168,Communications Tower,"Strawberry Hill Rd, Wanilla",Very High
1650014,Water Tank,"Potters Point Lookout, Hay Drv, Mount Gambier",Low
1650015,Communications Tower,W.of Suttontown Rd and N. of Torrensdale Rd Moutn Gambier,Low
2550027,Electricity Substation,"Wildfield Rd, Robe",Low
2550020,Communication Tower,"Beacon Hill Rd, Robe",Medium
2550021,Emergency Services,"Robe Clay Wells Rd, Bray",Very High
6750080,Communications Tower,"Southern Ports Hwy, South of Bray",High
2850044,Telephone Exchange,"Flints Rd, Mount Benson",Medium
2550025,Telephone Exchange,"Robe Clay Wells Rd, Karatta",Medium
2550026,Telephone Exchange,"Konetta Naracoorte Rd, Greenways",Medium
5150170,Medical Centre and Ambulance Station,"Cnr of Lear St and Shepperd Ave, Coffin Bay",Low
5950028,Stokes Tank,"West Dog Fence Rd, 8.5km W. of Ungarra",N/A
2850030,Emergency Services,"Petherick Rd, Holt (Tilley Swamp)",Low
2850031,Emergency Services,"Tapfield Rd, Taratap",High
2850032,Emergency Services,"Cnr. East Tce. and Smiths Ln., Kingston",Low
2850033,Emergency Services,"Curkpatrick Ln, Reedy Creek",Very High
2850034,Emergency Services,"Cnr. Rowney Rd and Minnie Growe Rd, Keilira",High
2850035,Emergency Services,"Rowney Rd, Marcollat.  Opposite Ballater Rd",Very High
6750081,Penola Iron Removal & Chlorination Plant & bores,"Old Cemetery Rd, Penola",Low
6750082,Beachport Iron Removal & Chlorination Plant & bores,"Railway Tce, Beachport",High
6750083,Penola power Sub-station,"Cnr Mount Burr Rd and Kidman Ln, Penola",Low
6750085,Millicent Wastewater Treatment Plant,"211 Lossie Ln, Millicent",Low
